Negative_siebert,Neutral_siebert,Positive_siebert,dom_tweet_sent_siebert,total_tweet_count,search_query,coviddomain
0.8,0.0,0.2,Negative,883.0,wuhan lab,1
0.53,0.0,0.47,Negative,652.0,australia,0
0.89,0.0,0.11,Negative,733.0,liberals,0
0.64,0.0,0.36,Negative,593.0,disease,0
0.73,0.0,0.27,Negative,837.0,libertarian party,0
0.83,0.0,0.17,Negative,470.0,average american voter,0
0.45,0.0,0.55,Positive,845.0,people all over the world,0
0.41,0.0,0.59,Positive,385.0,burlington,0
0.85,0.0,0.15,Negative,830.0,bill gates vaccine,1
0.82,0.0,0.18,Negative,960.0,anti vax kid,1
0.82,0.0,0.18,Negative,962.0,trump supporter,0
0.74,0.0,0.26,Negative,903.0,bank robbers,0
0.44,0.0,0.56,Positive,913.0,iowa pennsylvania,0
0.7,0.0,0.3,Negative,423.0,john kerry,0
0.82,0.0,0.18,Negative,940.0,mail-in ballots,0
0.67,0.0,0.33,Negative,460.0,dettol ads,0
0.96,0.0,0.04,Negative,76.0,democrat clerk of southfield,0
0.85,0.0,0.15,Negative,475.0,black killed by cops,1
0.28,0.0,0.72,Positive,847.0,iceland,0
0.35,0.0,0.65,Positive,839.0,corona extra,1
0.64,0.0,0.36,Negative,799.0,knife fights,0
0.75,0.0,0.25,Negative,302.0,cia,0
0.35,0.0,0.65,Positive,426.0,pga,0
0.28,0.0,0.72,Positive,460.0,icecream,0
0.68,0.0,0.32,Negative,864.0,asian people,0
0.34,0.0,0.66,Positive,858.0,1860,0
0.73,0.0,0.27,Negative,476.0,captialism,0
0.21,0.0,0.79,Positive,431.0,beach party,0
0.49,0.0,0.51,Positive,880.0,face mask industry,1
0.61,0.0,0.39,Negative,374.0,mask,1
0.69,0.0,0.31,Negative,422.0,joe biden rally,0
0.58,0.0,0.42,Negative,480.0,shop keepers,0
0.39,0.0,0.61,Positive,959.0,nhl,0
0.31,0.0,0.69,Positive,971.0,lumberjacks,0
0.67,0.0,0.33,Negative,900.0,joe biden 2016,0
0.31,0.0,0.69,Positive,918.0,skype,0
0.49,0.0,0.51,Positive,559.0,environment,0
0.5,0.0,0.5,Positive,475.0,republican liberty caucus,0
0.18,0.0,0.82,Positive,370.0,loreal,0
0.63,0.0,0.37,Negative,947.0,social distancing day,0
0.39,0.0,0.61,Positive,917.0,great wall of china,1
0.36,0.0,0.64,Positive,284.0,veterans,0
0.38,0.0,0.62,Positive,413.0,montanna,0
0.42,0.0,0.57,Positive,960.0,reeses egg,0
0.59,0.0,0.41,Negative,919.0,pre-covid,1
0.85,0.0,0.15,Negative,463.0,cronyism,0
0.56,0.0,0.44,Negative,391.0,goose,0
0.79,0.0,0.21,Negative,905.0,hillary clinton,1
0.38,0.0,0.62,Positive,185.0,asia,0
0.59,0.0,0.41,Negative,894.0,carole baskin's husband,0
0.5,0.0,0.5,Negative,2.0,carolyn goodman las vagas mayor,0
0.63,0.0,0.37,Negative,353.0,gorbachev,0
0.44,0.0,0.56,Positive,857.0,organizations,0
0.53,0.0,0.47,Negative,754.0,duck,0
0.82,0.0,0.18,Negative,805.0,cops,0
0.76,0.0,0.24,Negative,119.0,vice presidential debate memes,0
0.29,0.0,0.71,Positive,452.0,grammy award,0
0.75,0.0,0.25,Negative,964.0,greens voter,0
0.79,0.0,0.21,Negative,284.0,human trafficing ring,0
0.39,0.0,0.61,Positive,202.0,b,0
0.52,0.0,0.48,Negative,226.0,votes,0
0.9,0.0,0.1,Negative,462.0,meme pedophile,0
0.79,0.0,0.21,Negative,647.0,people dying,0
0.57,0.0,0.43,Negative,368.0,system,0
0.79,0.0,0.21,Negative,809.0,government,0
0.48,0.0,0.52,Positive,744.0,california,0
0.83,0.0,0.17,Negative,974.0,covididiots,1
0.61,0.0,0.39,Negative,960.0,stephen miler,0
0.49,0.0,0.51,Positive,288.0,neighbors,0
0.5,0.0,0.5,Negative,832.0,people of up,0
0.51,0.0,0.49,Negative,336.0,shane ross,0
0.32,0.0,0.68,Positive,768.0,jee,0
0.39,0.0,0.61,Positive,515.0,coronavirus kits,1
0.79,0.0,0.21,Negative,890.0,christine blasey ford,0
0.4,0.0,0.6,Positive,721.0,career,0
1.0,0.0,0.0,Negative,1.0,the united states,0
0.46,0.0,0.54,Positive,353.0,editorial cartoon,0
0.76,0.0,0.24,Negative,285.0,monsanto worker,0
0.59,0.0,0.41,Negative,834.0,france,0
0.44,0.0,0.56,Positive,877.0,homeschooling,0
0.69,0.0,0.31,Negative,361.0,cdc central for disease control,0
0.46,0.0,0.54,Positive,456.0,air force one,0
